CODMUN;municipio;UF;CODREG;CODPRE;prestadora;Sigla;Abrangencia;Natureza;servico;IN003;IN026;IN027;IN004;IN005;IN006;IN012;IN029;IN007;IN008;IN030;IN031;IN032;IN033;IN034;IN035;IN036;IN037;IN038;IN039;IN040;IN041;IN042;IN054;IN018;IN019;IN102;IN048;IN002;IN045;IN101;IN060;IN055;IN023;IN001;IN043;IN011;IN009;IN010;IN044;IN057;IN052;IN025;IN053;IN014;IN017;IN022;IN058;IN020;IN028;IN013;IN049;IN050;IN051;IN056;IN024;IN047;IN015;IN016;IN046;IN021;IN059;IN071;IN072;IN073;IN074;IN077;IN082;IN083;IN079;IN075;IN080;IN076;IN085;IN084;IN061;IN062;IN063;IN064;IN068;IN065;IN069;IN066;IN067
230020;Acaraú;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água e Esgotos;3,22;2,12;337,82;2,24;2,18;2,83;69,57;0,23;42,90;245.489,84;94,46;41,13;61,66;9,94;23,50;43,55;65,28;11,88;0,47;24,87;84,40;12,01;3,59;95,64;6,75;1.113,16;1.100,26;0,61;1.668,78;0,68;96,95;0,39;33,22;67,71;1,01;94,17;0,00;99,99;70,22;100,00;0,00;70,22;14,95;10,50;10,50;13,49;112,31;0,51;14,94;90,21;9,79;29,78;9,13;147,78;3,97;8,08;8,08;11,79;100,00;11,79;22,16;1,60;;13,60;;63,00;;;51,58;100,00;0,18;100,35;0,00;100,35;1,06;;;;;;;;;
230030;Acopiara;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água e Esgotos;3,66;2,69;359,85;2,02;2,02;2,08;55,35;1,12;44,95;38.772,49;133,05;40,84;81,22;0,00;33,83;30,69;61,04;11,59;3,56;25,43;82,14;14,45;3,41;117,83;56,68;176,51;172,85;2,91;351,04;3,49;74,94;0,34;35,56;72,11;1,02;92,68;100,00;99,94;64,91;99,99;100,00;64,92;13,20;8,57;8,57;11,45;115,26;0,90;5,55;86,73;13,27;35,08;26,65;155,16;7,41;15,02;15,02;18,22;100,00;18,22;14,09;0,38;;27,00;;54,00;;;149,41;198,18;0,00;103,93;81,58;101,85;4,73;;;;;;;;;
230050;Alcântaras;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água e Esgotos;8,48;6,31;338,69;1,80;1,86;1,64;21,21;-2,98;47,55;151.794,28;351,14;93,15;224,15;0,00;108,23;26,53;63,83;8,65;1,75;30,82;71,48;24,52;3,99;134,18;2,41;702,09;701,26;0,59;1.689,50;0,85;30,04;0,43;23,37;73,00;1,00;93,44;100,00;100,00;85,12;100,00;0,00;85,12;5,26;4,46;4,46;4,64;56,65;1,51;10,40;88,54;11,46;14,88;2,31;25,69;11,59;36,22;36,22;40,30;100,00;40,30;11,76;0,13;;32,33;;72,00;;;92,65;33,33;4,89;33,33;36,39;21,71;1,88;;;;;;;;;
230060;Altaneira;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água e Esgotos;4,12;2,48;321,37;1,79;1,78;1,86;43,41;1,06;38,45;146.275,81;138,74;54,04;88,57;0,00;25,48;38,95;63,84;17,58;4,56;18,37;88,23;9,28;2,49;84,48;3,28;712,97;712,36;0,86;1.168,50;0,96;71,41;0,30;59,07;81,70;1,00;95,89;100,00;100,00;71,65;100,00;100,00;71,65;9,24;6,61;6,61;11,00;107,50;1,92;10,64;119,20;-19,20;28,35;7,46;86,10;7,37;10,20;10,20;10,27;100,00;10,27;21,61;0,00;;;;235,00;;;47,55;116,71;0,42;112,54;74,96;116,97;5,49;;;;;;;;;
230070;Alto Santo;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água;4,75;2,81;487,36;2,30;2,30;;48,36;25,14;37,76;143.955,11;122,17;40,53;78,08;30,69;20,19;33,18;63,91;22,02;2,11;16,53;97,63;;2,37;470,57;2,89;462,21;423,96;1,22;890,33;1,22;49,43;0,43;35,85;72,94;1,09;90,15;100,00;100,00;87,23;100,00;0,00;87,23;14,02;11,61;11,61;14,48;104,45;1,49;6,39;108,78;-8,78;12,77;9,33;60,90;;;;;;;;;;22,00;;;;;27,00;1.018,26;0,00;991,70;15,86;104,98;0,00;;;;;;;;;
230080;Antonina do Norte;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água;9,17;3,53;264,63;2,42;2,42;;26,43;30,12;24,46;177.739,26;145,50;46,33;92,57;0,00;17,44;31,84;63,62;21,66;6,26;11,98;96,83;;3,17;422,65;2,00;1.055,75;1.044,99;0,48;2.109,50;0,48;48,56;0,53;62,64;87,50;1,01;92,94;100,00;100,00;34,67;100,00;0,00;34,67;12,62;4,22;4,22;6,25;65,77;0,72;6,32;51,30;48,70;65,33;38,08;264,42;;;;;;;;;;35,00;;;;;237,68;216,31;0,00;110,85;14,13;104,17;3,71;;;;;;;;;
230090;Apuiarés;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água;3,86;2,32;325,18;1,87;1,87;;48,41;0,74;39,44;104.153,38;124,12;52,46;81,47;22,08;25,91;42,26;65,64;10,89;5,32;20,88;96,65;;3,35;99,31;4,66;487,97;472,09;1,36;757,83;1,36;68,79;0,45;31,77;76,65;1,03;93,23;100,00;100,00;68,98;100,00;0,00;68,98;11,64;8,00;8,00;11,68;130,33;0,57;8,55;100,70;-0,70;31,02;13,45;122,31;;;;;;;;;;;;;;;102,41;58,78;0,18;55,58;28,25;104,63;20,35;;;;;;;;;
230100;Aquiraz;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água e Esgotos;4,70;2,44;376,75;2,43;2,38;2,56;51,69;2,58;33,17;199.962,29;100,48;37,07;64,17;15,15;18,79;36,89;63,86;11,85;7,44;18,70;69,55;27,01;3,44;122,67;10,39;831,13;783,27;0,74;1.438,58;1,04;85,24;0,37;32,69;35,39;1,05;93,59;100,00;100,00;100,48;100,00;100,00;100,48;13,78;12,64;12,64;13,58;117,69;0,95;18,39;107,97;-7,97;;;;14,81;16,03;16,03;33,27;100,00;33,27;14,95;0,35;;24,32;;70,40;;;240,00;138,27;0,15;150,15;70,72;94,47;3,77;;;;;;;;;
230110;Aracati;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água e Esgotos;3,57;2,25;371,81;2,33;2,35;2,19;65,31;3,17;42,71;153.300,89;96,40;38,00;65,39;0,93;20,28;39,42;67,84;9,34;5,52;21,04;84,09;12,72;3,20;101,47;29,25;607,78;560,79;1,04;1.045,85;1,17;100,46;0,38;49,44;77,64;1,08;92,14;100,00;99,51;68,33;99,89;0,00;68,41;16,24;11,10;11,14;13,42;144,35;0,49;6,84;82,74;17,26;31,59;25,82;181,43;12,98;20,39;20,39;15,92;100,00;15,92;30,05;0,32;;19,75;;25,30;;;42,93;167,91;0,69;165,68;16,76;105,59;1,93;;;;;;;;;
230120;Aracoiaba;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água;3,38;2,41;365,46;2,06;2,06;;60,86;1,04;36,07;211.546,19;117,08;32,40;59,27;2,12;20,74;27,67;50,63;22,53;11,92;17,72;97,38;;2,62;116,83;5,49;1.143,34;1.141,06;0,48;2.091,67;0,48;83,15;0,32;38,63;71,40;1,00;97,19;100,00;100,00;69,06;100,00;100,00;69,06;14,41;9,89;9,89;12,65;204,05;1,51;7,81;88,40;11,60;30,94;17,24;145,90;;;;;;;;;;85,00;;67,00;;;126,72;232,07;0,08;157,00;40,58;94,77;4,78;;;;;;;;;
230125;Ararendá;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água;4,82;3,64;307,11;1,64;1,64;;34,07;-0,96;54,75;;221,56;42,00;160,69;0,00;29,77;18,96;72,53;20,48;0,30;13,44;95,61;;4,39;84,28;;810,75;805,52;;;;46,64;0,44;31,47;67,30;1,01;93,58;0,00;100,00;53,92;100,00;0,00;53,92;12,74;6,87;6,87;7,03;93,35;0,93;11,02;55,19;44,81;46,08;16,63;194,23;;;;;;;;;;25,00;;;;;36,61;200,42;0,00;201,26;0,00;100,46;0,00;;;;;;;;;
230130;Araripe;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água;5,25;3,42;461,87;1,88;1,88;;35,77;-2,43;34,13;161.592,32;182,21;52,62;95,42;0,00;25,94;28,88;52,37;36,75;2,23;14,23;97,15;;2,85;117,73;5,44;668,09;664,14;0,83;1.211,50;0,83;56,91;0,39;40,85;66,37;1,01;95,02;100,00;99,97;72,04;99,99;100,00;72,05;9,59;6,91;6,91;11,24;84,30;3,82;7,26;117,21;-17,21;27,95;11,24;88,68;;;;;;;;;;152,00;;;;;163,66;184,29;0,07;101,94;83,34;99,71;5,43;;;;;;;;;
230140;Aratuba;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água e Esgotos;3,49;2,27;273,19;1,92;1,86;2,13;54,94;3,53;41,58;;118,56;29,73;75,68;0,00;19,52;25,08;63,84;23,15;1,81;16,46;74,84;23,14;2,02;84,31;;1.262,74;1.243,09;;;;80,45;0,40;30,41;93,01;1,02;93,14;0,00;100,00;90,71;100,00;0,00;90,71;7,73;7,01;7,01;10,41;82,73;2,03;7,96;134,71;-34,71;9,29;2,87;24,01;9,46;28,93;28,93;28,90;100,00;28,90;7,90;0,79;;148,50;;166,75;;;56,49;654,58;0,00;163,74;0,47;104,17;0,44;;;;;;;;;
230150;Arneiroz;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água;5,29;3,80;516,59;1,96;1,96;;37,10;1,64;39,27;183.808,41;193,93;55,80;105,85;0,00;67,93;28,78;54,58;11,54;3,53;35,03;96,23;;3,77;101,11;1,90;651,89;639,76;0,82;1.236,50;0,82;51,94;0,51;44,86;88,47;1,02;91,51;100,00;100,00;56,00;100,00;0,00;56,00;13,23;7,41;7,41;11,32;87,31;0,74;7,36;85,60;14,40;44,00;24,90;194,93;;;;;;;;;;33,11;;136,67;;;86,48;214,90;0,11;115,91;94,09;103,70;47,32;;;;;;;;;
230160;Assaré;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água;16,16;2,57;367,29;1,99;1,99;;12,29;-1,49;9,80;141.499,58;129,17;46,26;79,72;0,00;25,00;35,81;61,72;17,62;4,62;19,36;97,07;;2,93;100,12;6,89;624,22;615,66;0,94;1.075,75;0,94;79,24;0,32;43,52;81,73;1,01;92,44;100,00;99,98;72,80;99,99;100,00;72,81;15,07;10,97;10,97;11,93;143,26;1,11;7,84;79,18;20,82;27,19;16,56;136,54;;;;;;;;;;;;;;;240,00;187,89;0,36;99,70;90,98;100,89;14,75;;;;;;;;;
230170;Aurora;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água e Esgotos;2,87;2,06;298,15;2,03;2,03;2,04;70,86;0,52;48,59;202.499,23;101,10;33,64;68,57;0,00;19,25;33,27;67,83;13,20;4,30;19,04;86,76;10,43;2,81;121,97;5,10;1.001,38;988,04;0,50;2.041,40;0,57;98,56;0,42;41,46;86,14;1,01;94,14;100,00;99,98;59,64;99,99;100,00;59,64;13,87;8,27;8,27;12,38;119,05;0,57;5,24;89,31;10,69;40,36;34,06;186,60;6,41;13,31;13,31;13,58;100,00;13,58;16,05;0,87;;33,40;;50,50;;;63,55;106,30;0,55;103,74;38,32;114,10;0,81;;;;;;;;;
230180;Baixio;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água;4,85;2,07;297,28;1,93;1,93;;39,77;3,29;30,43;183.175,95;107,11;57,57;76,51;0,00;17,09;53,74;71,43;13,57;0,59;15,95;97,82;;2,18;94,70;1,33;862,57;862,57;0,87;1.146,50;0,87;89,87;0,40;53,40;97,37;1,00;95,77;0,00;100,00;61,66;100,00;0,00;61,66;13,28;8,19;8,19;11,98;92,76;0,63;8,26;90,22;9,78;38,34;19,19;167,39;;;;;;;;;;;;;;;64,71;482,11;0,95;447,27;20,63;118,81;0,39;;;;;;;;;
230190;Barbalha;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água e Esgotos;2,85;1,91;327,74;2,24;2,23;2,32;78,72;-1,59;44,60;158.380,02;85,40;41,44;56,66;11,47;16,64;48,53;66,34;14,66;0,78;19,49;88,21;8,59;3,20;159,09;16,41;728,42;718,42;1,02;995,87;1,14;105,85;0,31;58,90;85,70;1,01;94,82;0,00;98,27;48,78;99,62;0,00;48,97;22,16;10,85;11,00;14,57;112,98;0,64;4,89;65,77;34,23;51,03;75,03;376,27;6,67;9,71;9,71;11,03;100,00;11,03;16,81;0,25;;;;;;;240,00;483,28;0,86;111,58;0,29;114,10;1,00;;;;;;;;;
230195;Barreira;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água e Esgotos;3,84;1,71;186,89;1,48;1,47;1,54;38,44;11,57;36,46;123.535,48;116,12;56,20;94,85;0,00;23,12;48,40;81,68;1,72;1,21;19,91;86,60;11,58;1,82;262,44;6,75;809,20;803,72;0,74;1.365,62;0,85;74,08;0,49;34,29;82,59;1,01;96,57;0,00;100,00;106,07;100,00;0,00;106,07;7,24;7,68;7,68;9,31;165,37;0,05;15,00;128,56;-28,56;;;;5,75;13,85;13,85;13,39;100,00;13,39;26,56;0,25;;26,69;;62,50;;;240,00;900,69;0,00;90,78;2,34;88,89;17,97;;;;;;;;;
230200;Barro;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água e Esgotos;3,17;2,37;341,61;2,02;2,03;1,79;63,69;-0,52;46,82;203.884,44;117,49;50,09;73,51;0,00;18,06;42,64;62,57;24,11;1,36;15,37;89,86;6,59;3,56;90,83;5,14;953,89;946,40;0,72;1.399,86;0,80;86,66;0,48;50,19;82,05;1,01;94,68;100,00;100,00;60,36;100,00;0,00;60,36;14,31;8,64;8,64;12,37;104,59;1,12;7,34;86,42;13,58;39,64;24,84;188,01;5,82;9,52;9,52;8,39;100,00;8,39;15,38;0,13;;28,37;;;;;19,15;199,83;1,16;169,71;19,03;117,56;1,82;;;;;;;;;
230205;Barroquinha;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água e Esgotos;5,05;2,11;263,95;1,81;1,81;1,78;35,78;0,59;30,74;247.804,60;116,77;32,37;85,91;0,00;30,37;27,72;73,57;5,95;0,90;26,01;87,24;9,81;2,94;127,27;2,65;1.276,14;1.273,88;0,30;3.386,50;0,34;85,23;5,80;49,83;73,83;1,00;97,11;100,00;99,98;79,29;100,00;0,00;79,29;10,34;8,20;8,20;10,63;94,46;0,00;9,06;102,76;-2,76;20,71;7,23;70,53;7,62;11,29;11,29;11,62;100,00;11,62;28,92;0,23;;121,50;;176,00;;;39,86;117,56;3,04;98,51;22,96;101,79;3,51;;;;;;;;;
230210;Baturité;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água e Esgotos;2,68;2,00;272,57;1,88;1,89;1,41;70,25;-6,82;50,48;170.201,51;106,23;41,47;71,85;0,00;27,05;39,04;67,63;5,95;4,85;25,47;95,86;1,24;2,90;77,42;9,53;923,24;888,34;0,65;1.599,45;0,67;100,40;0,41;61,51;83,87;1,04;93,31;100,00;100,00;88,96;100,00;100,00;88,96;10,61;9,44;9,44;11,51;113,93;0,32;5,98;108,52;-8,52;11,04;6,32;40,04;2,00;2,72;2,72;1,79;100,00;1,79;7,04;0,10;;61,26;;;;;118,45;349,19;0,06;99,80;1,43;99,80;3,87;;;;;;;;;
230220;Beberibe;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água e Esgotos;3,81;2,42;339,59;2,14;2,21;1,91;56,22;2,76;41,31;150.841,32;113,15;41,73;73,48;7,10;26,72;36,88;64,94;9,97;5,93;23,62;77,07;20,19;2,74;119,57;7,04;683,98;666,52;0,85;1.204,50;1,19;80,98;0,72;16,91;38,58;1,02;93,52;100,00;100,00;88,93;100,00;100,00;88,93;10,83;9,60;9,60;12,53;118,29;0,42;10,97;116,07;-16,07;11,07;3,12;40,24;6,11;13,94;13,94;30,33;100,00;30,33;13,14;0,33;;61,53;;;;;240,00;93,18;0,90;98,79;3,98;104,69;1,22;;;;;;;;;
230230;Bela Cruz;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água e Esgotos;3,91;2,65;370,11;1,96;1,96;1,96;50,10;2,04;47,78;230.716,41;135,07;53,73;95,37;5,71;29,02;39,78;70,61;9,98;1,79;21,49;70,32;26,30;3,38;105,78;5,33;882,85;875,71;0,64;1.567,17;0,90;70,55;0,43;28,38;67,42;1,01;95,75;100,00;100,00;54,13;99,99;0,00;54,14;15,33;8,29;8,29;11,88;95,22;0,58;12,56;77,58;22,42;45,86;15,50;232,57;12,86;30,56;30,56;41,81;100,00;41,81;22,25;0,29;;20,83;;343,00;;;77,33;100,00;0,00;100,32;30,99;100,96;0,95;;;;;;;;;
230270;Campos Sales;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água e Esgotos;3,52;2,19;296,21;1,91;1,91;1,90;54,13;-0,63;40,37;198.558,34;115,16;43,71;74,59;14,31;22,11;37,96;64,77;16,42;3,73;19,20;81,14;14,09;4,77;123,77;6,83;1.034,94;1.003,88;0,58;1.766,00;0,70;79,76;0,36;47,24;65,63;1,03;93,19;100,00;98,79;55,75;99,56;100,00;56,00;11,16;6,24;6,29;11,49;83,14;1,13;6,25;103,12;-3,12;44,00;24,98;165,78;9,55;13,26;13,26;21,98;100,00;21,98;12,18;0,67;;22,76;;;;;240,00;161,99;0,00;102,89;99,39;102,27;13,33;;;;;;;;;
230290;Capistrano;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água;5,27;4,09;504,19;1,87;1,87;;35,45;-4,07;46,39;172.708,00;219,10;85,97;130,87;0,00;37,97;39,24;59,73;17,54;10,00;17,33;95,99;;4,01;94,68;3,81;573,47;565,85;1,16;873,00;1,16;48,73;0,30;27,62;75,85;1,01;94,91;100,00;99,98;82,20;100,00;100,00;82,20;10,05;8,11;8,11;10,27;121,73;2,42;8,81;104,12;-4,12;17,80;6,00;58,50;;;;;;;;;;17,70;;;;;45,94;104,57;0,16;103,09;97,38;115,28;4,42;;;;;;;;;
230300;Caridade;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água;7,93;4,49;499,00;1,82;1,82;;22,97;4,51;38,12;126.785,21;246,73;106,92;165,93;0,00;55,92;43,33;67,25;9,55;4,52;22,66;97,52;;2,48;146,55;4,66;377,79;370,28;1,74;586,33;1,74;39,09;0,33;23,66;41,10;1,02;93,26;100,00;100,00;59,60;100,00;100,00;59,60;11,14;6,59;6,59;9,26;72,12;1,07;10,73;83,75;16,25;40,40;12,91;149,76;;;;;;;;;;17,71;;;;;107,50;130,26;0,03;127,24;38,89;118,59;2,54;;;;;;;;;
230310;Cariré;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água;3,41;2,51;391,70;2,16;2,16;;63,46;2,10;59,57;162.578,41;116,10;60,90;93,87;1,91;15,68;52,45;80,85;2,01;5,72;13,51;97,63;;2,37;95,57;4,62;513,35;511,84;1,27;791,33;1,27;83,22;15,59;34,49;76,23;1,00;95,16;100,00;100,00;69,16;100,00;100,00;69,16;14,13;9,77;9,77;13,00;114,14;0,00;9,69;92,04;7,96;30,84;13,60;143,65;;;;;;;;;;25,87;;;;;134,35;99,60;0,00;99,21;49,20;99,60;2,79;;;;;;;;;
230330;Cariús;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água;2,90;2,24;335,01;1,99;1,99;;68,52;-0,99;54,03;187.484,48;112,74;44,82;78,86;0,00;20,95;39,76;69,95;11,07;4,19;18,58;96,33;;3,67;108,31;2,64;800,11;791,20;0,72;1.407,67;0,72;90,79;0,54;23,26;51,96;1,01;91,83;100,00;100,00;125,58;100,00;100,00;125,58;7,34;9,20;9,20;12,45;128,50;0,78;5,69;169,92;-69,92;;;;;;;;;;;;;35,25;;;;;77,38;559,26;0,00;462,96;31,50;103,70;0,89;;;;;;;;;
230340;Carnaubal;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água;2,50;1,99;253,64;1,93;1,93;;77,24;4,08;58,56;184.612,84;103,09;51,15;75,82;0,00;20,87;49,62;73,55;2,85;4,94;20,24;96,81;;3,19;93,05;4,45;989,65;988,41;0,68;1.466,83;0,68;93,36;1,95;39,42;82,93;1,00;95,64;0,00;99,99;73,00;100,00;100,00;73,00;11,06;8,08;8,08;10,61;170,31;0,03;8,43;95,93;4,07;27,00;10,54;98,35;;;;;;;;;;49,24;;;;;30,28;94,58;0,00;84,17;0,25;80,42;1,55;;;;;;;;;
230350;Cascavel;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água e Esgotos;3,36;2,24;300,53;2,05;2,06;1,44;60,98;-2,90;40,04;153.999,87;109,56;41,06;65,67;5,81;25,80;37,48;59,94;12,39;5,89;23,55;95,55;1,23;3,22;84,95;14,39;854,91;843,31;0,74;1.367,28;0,76;89,65;0,37;56,18;66,17;1,01;95,57;100,00;100,00;84,71;100,00;100,00;84,71;11,35;9,53;9,53;11,27;101,04;0,77;8,98;100,26;-0,26;15,29;5,88;57,32;1,66;1,95;1,95;1,99;100,00;1,99;12,98;0,16;;56,54;;77,43;;;240,00;182,65;0,37;307,84;17,83;102,31;2,26;;;;;;;;;
230360;Catarina;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água e Esgotos;4,79;3,25;414,74;1,84;1,84;1,86;38,42;0,95;38,15;243.805,41;176,77;48,96;99,30;0,00;26,63;27,69;56,17;21,30;13,20;15,06;79,84;16,61;3,55;85,19;3,04;1.046,53;1.037,00;0,48;2.122,67;0,59;57,04;0,37;43,12;92,61;1,01;94,20;100,00;100,00;59,69;100,00;0,00;59,69;11,66;6,90;6,90;11,00;72,27;2,06;6,69;95,11;4,89;40,31;21,72;154,13;10,35;22,22;22,22;20,54;100,00;20,54;22,35;0,82;;50,00;;;;;48,16;151,93;0,00;149,34;57,82;102,00;18,30;;;;;;;;;
230365;Catunda;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água;4,37;2,82;387,19;2,06;2,06;;47,23;11,60;41,58;116.008,99;136,87;33,26;88,04;0,00;25,64;24,30;64,32;9,90;13,01;18,73;97,16;;2,84;101,67;3,97;465,80;465,17;0,81;1.233,00;0,81;65,13;0,45;47,55;87,72;1,00;93,05;100,00;100,00;107,31;100,00;0,00;107,31;7,30;7,82;7,82;11,43;93,54;0,97;9,15;156,86;-56,86;;;;;;;;;;;;;14,50;;400,00;;;41,55;110,06;0,22;109,90;99,03;100,46;46,08;;;;;;;;;
230370;Caucaia;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água e Esgotos;3,64;1,58;226,55;1,94;2,06;1,57;53,19;57,10;26,88;166.512,26;81,68;28,10;50,54;1,28;14,91;34,41;61,87;8,72;7,85;18,25;75,56;19,48;4,96;133,97;98,01;1.187,88;1.068,24;0,52;2.136,24;0,73;52,94;0,33;67,58;75,78;1,10;96,07;0,00;100,00;56,62;100,00;100,00;56,62;17,36;9,83;9,83;12,53;108,96;0,35;6,81;72,20;27,80;43,38;36,27;273,15;31,10;34,87;34,87;34,86;100,00;34,86;12,15;0,28;;51,81;;488,04;;;92,87;93,73;0,25;105,95;0,18;119,64;4,13;;;;;;;;;
230380;Cedro;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água e Esgotos;3,09;2,14;301,16;2,09;2,15;0,89;67,57;9,62;40,84;162.775,91;102,32;35,08;60,44;6,79;18,29;34,29;59,07;16,18;10,65;17,87;95,68;2,09;2,23;122,61;6,03;914,97;908,58;0,64;1.576,43;0,69;82,68;0,36;48,88;79,09;1,01;95,05;100,00;100,00;73,48;100,00;0,10;73,48;12,53;9,20;9,20;11,96;121,09;0,97;11,30;95,58;4,42;26,52;9,20;109,96;3,75;6,06;6,06;4,50;100,00;4,50;10,99;0,00;;73,12;;72,00;;;90,03;108,52;0,56;106,59;22,68;110,85;0,47;;;;;;;;;
230390;Chaval;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água;6,38;2,33;325,72;1,93;1,93;;30,29;-3,84;20,39;178.740,73;120,68;34,70;67,31;0,00;23,92;28,75;55,78;20,74;9,80;19,82;97,30;;2,70;129,35;2,91;983,79;975,54;0,53;1.908,67;0,53;86,36;0,32;57,68;79,37;1,01;95,65;100,00;100,00;52,22;100,00;100,00;52,22;17,29;9,03;9,03;11,64;114,08;1,01;7,98;67,31;32,69;47,78;31,10;273,88;;;;;;;;;;36,43;;;;;35,10;28,14;2,32;26,25;84,09;101,09;14,34;;;;;;;;;
230393;Choró;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água;4,89;3,54;527,20;2,13;2,13;;43,51;-1,28;45,15;187.617,49;166,08;54,88;103,76;0,00;44,12;33,04;62,47;10,34;4,89;26,57;96,04;;3,96;110,92;1,89;569,65;568,33;0,93;1.077,00;0,93;62,48;0,31;21,79;73,81;1,00;92,11;100,00;100,00;67,42;100,00;100,00;67,42;13,78;9,29;9,29;12,42;107,09;1,07;9,78;90,11;9,89;32,58;14,45;147,96;;;;;;;;;;86,30;;;;;240,00;114,14;0,00;112,30;40,95;115,28;2,81;;;;;;;;;
230395;Chorozinho;CE;2;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Sociedade de economia mista com administração pública;Água;4,47;2,99;243,11;1,88;1,88;;41,98;7,82;46,28;150.476,51;159,23;72,08;110,25;0,00;34,47;45,27;69,24;9,63;2,26;21,65;97,42;;2,58;168,99;4,59;893,93;887,72;0,74;1.367,33;0,74;57,75;0,42;32,45;53,71;1,01;96,75;0,00;100,00;100,96;100,00;100,00;100,96;5,20;5,25;5,25;6,78;114,19;0,89;6,41;130,21;-30,21;;;;;;;;;;;;;80,56;;3.334,00;;;106,82;1.088,33;0,61;94,96;7,08;94,17;7,08;;;;;;;;;
